"","","2.5%","50%","97.5%"
"N[1]",7.75081747411415,7.67500770169179,7.75023728484597,7.81937140956924
"N[2]",7.33391217236635,7.21200544385216,7.33126716320424,7.44118147618972
"N[3]",7.32984228849791,7.29192909723479,7.32966918811919,7.36573053649578
"N[4]",7.52156067139385,7.42276246205427,7.51994268425525,7.60968855953673
"N[5]",7.97105959828037,7.91267991484112,7.97056670792594,8.02554270915859
"N[6]",8.29318275142103,8.25473737237686,8.29281216317117,8.33086451654832
"N[7]",8.18062450469807,8.13518104208536,8.18027691273227,8.22392137407965
"N[8]",8.12158437954382,8.07324448264591,8.12109161653211,8.16665545613633
"N[9]",7.93424836203446,7.87402016714256,7.93377852635856,7.99163697598207
"N[10]",7.9073672864423,7.84551394882056,7.90625239852681,7.96503401945488
"N[11]",7.59631931262736,7.56901012065664,7.59604236057132,7.62328685385198
"N[12]",7.11417879612205,7.06535242437294,7.1137707534864,7.16023745930572
"N[13]",6.19525256924176,6.15046208334603,6.19505364554626,6.23673415495883
"N[14]",6.30843697459549,6.17925604686408,6.30522257990269,6.42293763642769
"N[15]",6.05382384537238,6.00149586579604,6.05341204671891,6.10215824592519
"N[16]",5.70203709198847,5.62454844222338,5.70068539310581,5.77480881823612
"N[17]",4.35938163517611,4.23877763046263,4.35703402045472,4.46579923814055
"N[18]",4.27828144833666,4.23807399673303,4.2781090328089,4.31670813694051
"N[19]",3.1820578520169,3.03299544005267,3.17771711023598,3.31094027384058
"N[20]",2.74803989194153,2.48255681179387,2.73817580550719,2.94664886547736
