"tempo_hora";"ph";"aw";"tem"
0;6.693333;0.957;30
4;6.7;0.956066792085654;30
8;6.486667;0.955134494178634;30
16;6.126667;0.953272624837904;30
21;5.955;0.952110799999937;30
29;5.791667;0.950254824827538;30
42;5.688333;0.94724657834537;30
54;5.551667;0.944478188744701;30
66;5.4;0.941717889942306;30
78;5.63;0.938965658292301;20
88;5.058333;0.936678277313821;20
102;5.176667;0.933485302211264;22
140;5.646667;0.924873414467569;21
188;5.646667;0.914108710079268;21
245;6.005;0.901488237199246;20
307;5.386667;0.8879584643779;20
379;5.706667;0.872501090526067;20
454;5.51;0.856685719292449;20
523;6.298333;0.842388893845883;20
643;5.61;0.818090803755702;20
715;5.78;0.803849669844942;21
837;5.8;0.780282495052338;19
941;5.831667;0.760738784912578;21
