"tempo_hora2";"ph2";"aw2";"tem2"
0;6.506;0.955;25
4;6.41;0.954222487581551;25
8;6.424;0.953445608174161;25
14;6.314;0.952281474831564;25
20;6.1;0.951118762866786;25
26;5.754;0.94995747054436;25
33;5.654;0.948604421459374;25
40.5;5.294;0.947156864521731;25
64.5;6.144;0.942539509871004;17
89.5;5.152;0.937753699632612;17
161.5;5.092;0.924105905172238;17
233.5;5.036;0.910656736740965;17
305.5;5.322;0.897403303593365;17
353.5;5.685;0.888675014853675;17
425.5;5.38167;0.875741497289794;17
521.5;5.59;0.85878913579951;17
689.5;5.38667;0.829908310057198;17
809.5;5.80667;0.809875719370047;17
1001.5;5.77667;0.778824497184296;17
1121.5;6.06333;0.760024983816194;17
